0	194.40902710	138.84326172	196.31794739	177.19844055	197.63383484	216.74026489	171.32054138	147.13864136	172.66206360	184.76277161	174.23606873	223.02905273	149.60765076	155.19232178	150.83628845	191.49485779	152.37663269	228.48928833
1	194.29330444	138.87394714	196.37449646	177.12431335	197.78598022	216.86691284	171.41093445	147.13816833	172.71463013	184.96862793	174.26991272	222.91394043	149.50827026	155.09690857	150.82594299	191.12457275	152.33244324	228.34643555
2	194.37084961	138.83010864	196.22129822	177.46064758	197.78633118	216.79649353	171.52867126	147.02276611	172.70719910	184.86128235	174.27970886	222.94847107	149.61947632	155.16763306	150.83454895	191.28088379	152.36717224	228.37669373
3	194.31457520	138.78343201	196.25103760	177.25575256	197.78292847	216.90681458	171.37391663	147.03977966	172.78703308	184.75195312	174.22892761	222.71640015	149.74801636	155.05087280	150.90057373	190.99987793	152.37062073	228.55123901
4	194.43827820	138.93212891	196.28399658	177.14309692	197.77499390	216.87126160	171.19381714	147.19187927	172.61471558	185.02230835	174.34684753	222.88903809	149.61444092	155.14169312	150.81796265	191.34153748	152.46354675	228.50883484
5	194.40917969	138.78286743	196.32330322	177.39154053	197.93078613	216.91578674	171.34777832	146.97894287	172.63887024	184.72711182	174.24714661	222.77891541	149.60435486	155.13641357	151.04446411	191.11637878	152.40969849	228.43307495
6	194.25749207	139.03834534	196.27864075	177.35169983	197.75103760	216.83610535	171.45768738	147.29585266	172.54348755	184.89668274	174.15910339	223.01789856	149.59175110	155.20353699	150.68531799	191.36828613	152.31027222	228.52638245
7	194.42471313	138.92282104	196.30566406	177.26123047	197.82006836	216.94422913	171.53970337	146.86604309	172.72167969	184.70187378	174.24069214	222.91540527	149.70434570	155.15751648	150.99510193	191.35664368	152.43727112	228.45094299
8	194.39970398	138.81683350	196.26048279	177.20567322	197.70022583	216.73455811	171.40505981	147.09069824	172.60247803	184.82951355	174.29161072	222.78637695	149.64099121	155.26454163	150.94180298	191.36886597	152.43157959	228.56071472
9	194.50285339	138.89767456	196.19985962	177.22332764	197.69372559	216.91149902	171.45410156	146.92910767	172.65817261	184.81600952	174.31309509	222.81695557	149.51579285	155.24559021	150.83021545	191.42108154	152.44256592	228.48905945
10	194.30303955	138.98973083	196.31037903	177.41462708	197.69425964	216.61029053	171.35830688	146.91772461	172.67195129	184.91310120	174.19171143	222.78797913	149.59257507	155.27914429	150.86790466	191.32312012	152.53572083	228.46063232
11	194.40060425	138.78326416	196.30561829	177.24765015	197.72805786	216.81513977	171.34027100	147.13096619	172.61132812	184.93603516	174.32054138	222.86177063	149.66847229	154.96856689	150.93701172	191.33584595	152.38697815	228.48471069
12	194.39370728	138.91751099	196.25556946	177.35723877	197.81808472	216.57269287	171.40586853	147.00236511	172.65348816	184.85862732	174.31387329	222.78988647	149.60168457	155.25959778	150.82249451	191.13616943	152.37976074	228.46493530
13	194.28466797	138.87402344	196.27912903	177.31106567	197.63500977	216.84831238	171.43026733	147.06407166	172.65075684	184.76506042	174.12576294	222.89967346	149.77891541	155.20960999	150.88909912	191.26455688	152.41734314	228.41770935
14	194.44248962	139.00492859	196.23849487	177.42781067	197.80621338	217.01190186	171.41674805	147.06658936	172.61923218	185.03050232	174.24873352	222.81384277	149.70014954	155.36347961	150.81256104	191.44215393	152.31024170	228.52270508
15	194.38446045	138.74528503	196.28555298	177.34373474	197.70889282	216.81272888	171.46441650	146.99929810	172.60403442	184.95823669	174.20716858	222.90225220	149.82154846	155.10267639	150.90270996	191.22488403	152.37269592	228.46771240
16	194.25280762	138.99211121	196.37004089	177.26634216	197.87527466	216.73327637	171.39218140	146.96113586	172.63508606	184.92469788	174.18881226	222.91744995	149.72981262	155.32876587	150.80038452	191.29924011	152.37080383	228.42771912
17	194.40135193	138.85813904	196.30157471	177.37486267	197.95655823	216.73731995	171.44459534	146.98963928	172.70288086	184.81900024	174.07997131	222.92549133	149.55532837	155.05787659	150.88093567	191.45179749	152.43508911	228.36914062
18	194.31396484	138.71009827	196.34020996	177.26397705	197.77040100	216.99023438	171.34452820	147.04109192	172.64689636	184.83341980	174.40142822	222.95495605	149.70608521	155.14500427	150.87768555	191.41784668	152.41658020	228.39672852
19	194.36840820	138.89796448	196.32514954	177.30230713	197.72541809	216.98718262	171.28994751	147.08767700	172.70166016	184.84471130	174.28407288	222.77081299	149.51567078	155.23005676	150.72708130	191.29684448	152.37193298	228.52799988
20	194.39135742	138.85920715	196.28007507	177.35487366	197.82936096	216.78758240	171.39697266	147.01780701	172.62773132	184.76646423	174.35194397	222.98588562	149.57980347	155.37005615	150.80079651	191.39590454	152.46647644	228.51332092
21	194.33511353	138.86596680	196.27160645	177.25523376	197.77056885	216.91227722	171.36318970	147.12666321	172.58453369	185.03251648	174.38708496	222.89328003	149.62110901	155.31106567	151.07696533	191.20069885	152.33233643	228.65725708
22	194.31849670	139.01031494	196.17556763	177.41552734	197.73176575	216.81469727	171.42314148	146.93867493	172.70147705	184.87561035	174.34689331	222.80134583	149.61428833	155.28201294	150.73217773	191.30384827	152.48439026	228.48585510
23	194.31692505	138.81854248	196.30790710	177.19876099	197.87757874	216.83293152	171.42448425	146.94593811	172.71066284	184.75514221	174.26992798	222.79067993	149.79579163	155.21818542	150.71788025	191.22734070	152.40341187	228.59580994
24	194.35626221	138.88189697	196.42971802	177.19644165	197.65821838	216.80538940	171.40289307	147.17823792	172.67224121	184.78941345	174.30799866	222.97229004	149.69068909	155.22563171	150.90904236	191.48333740	152.39727783	228.42338562
